sep=;
Industry;Company;Location;Notes
Aviation;KLM;Amsterdam;Airline with large supply chain & logistics ops
Aviation;Air France-KLM Cargo;Amsterdam;Cargo & freight supply chain
Aviation;Schiphol Group;Amsterdam;Airport operations & procurement
Aviation;Rotterdam The Hague Airport;Rotterdam;Local and smaller — easier to get in
Aviation;Transavia;Amsterdam;Low-cost airline with lean operations
Sports;Feyenoord;Rotterdam;Local club — business and commercial side
Sports;Ajax;Amsterdam;Large club with business operations
Sports;Nike European HQ;Hilversum;Supply chain and merchandising
Sports;Adidas;Amsterdam;European operations hub
Sports;Decathlon;Multiple NL locations;Retail supply chain
Automotive;Pon Holdings;Leusden/Amsterdam;Importer of VW Audi Porsche Bentley
Automotive;Stellantis;Amsterdam;Multi-brand auto group
Automotive;Tesla;Amsterdam/Tilburg;Fast-growing with logistics ops
Automotive;DAF Trucks;Eindhoven;Truck manufacturing & supply chain
Automotive;BMW Group Netherlands;Amsterdam;Premium automotive
Food;Unilever;Rotterdam;Global FMCG with huge supply chain team
Food;Heineken;Amsterdam;Global brewer with logistics & procurement
Food;Ahold Delhaize (Albert Heijn);Zaandam;Retail supply chain at scale
Food;FrieslandCampina;Amersfoort;Dairy and international supply chain
Food;Coca-Cola European Partners;Amsterdam;Beverages supply chain & logistics
Finance;ING;Amsterdam;Large bank with supply chain finance
Finance;Rabobank;Utrecht;Food & agri focus — links to supply chain
Finance;ABN AMRO;Amsterdam;Trade & commodity finance
Finance;Deloitte;Rotterdam/Amsterdam;Consulting with supply chain practice
Finance;PwC;Rotterdam/Amsterdam;Consulting with operations & supply chain
